id,week,date,timeofday,LON,LAT,activity,withmask,maskcompliant,socialdist,sdmaskcomp,agegroup,white,sex,obese
3478,1,2/16/2021,133524,39.68712711,-75.7547474,2,1,1,1,1,2,1,1,0
3479,1,2/16/2021,133531,39.68761423,-75.755149,2,1,1,1,1,2,1,1,0
3480,1,2/16/2021,133544,39.68821899,-75.755654,2,0,0,1,1,4,1,1,0
3481,1,2/16/2021,133544,39.68825821,-75.7556835,2,0,0,1,1,3,1,2,0
3482,1,2/16/2021,133550,39.68838618,-75.7557989,2,1,1,1,1,2,1,2,0
3483,1,2/16/2021,133600,39.68832013,-75.755705,2,1,1,1,1,2,1,2,0
3484,1,2/16/2021,133629,39.68903222,-75.756338,2,1,1,1,1,2,0,2,1
3485,1,2/16/2021,133644,39.68946979,-75.7567162,2,1,1,1,0,2,1,2,0
3486,1,2/16/2021,133644,39.68948011,-75.7567028,2,1,1,1,0,2,1,2,0
3487,1,2/16/2021,133728,39.69012821,-75.7584435,2,1,1,1,1,2,1,2,0
3488,1,2/16/2021,133734,39.69014472,-75.7587359,2,1,0,1,1,2,1,2,0
